城市,city,url
北京,beijing,http://map.amap.com/service/subway?_1670073039642&srhdata=1100_drw_beijing.json
天津,tianjin,http://map.amap.com/service/subway?_1670073559506&srhdata=1200_drw_tianjin.json
香港,xianggang,http://map.amap.com/service/subway?_1670073330189&srhdata=8100_drw_xianggang.json
上海,shanghai,http://map.amap.com/service/subway?_1670072503740&srhdata=3100_drw_shanghai.json
台北,taibei,false
广州,guangzhou,http://map.amap.com/service/subway?_1670073620484&srhdata=4401_drw_guangzhou.json
长春,changchun,http://map.amap.com/service/subway?_1670073640776&srhdata=2201_drw_changchun.json
大连,dalian,http://map.amap.com/service/subway?_1670073655882&srhdata=2102_drw_dalian.json
武汉,wuhan,http://map.amap.com/service/subway?_1670073709743&srhdata=4201_drw_wuhan.json
重庆,chongqing,http://map.amap.com/service/subway?_1670073705103&srhdata=5000_drw_chongqing.json
深圳,shenzhen,http://map.amap.com/service/subway?_1670073698229&srhdata=4403_drw_shenzhen.json
南京,nanjing,http://map.amap.com/service/subway?_1670073758528&srhdata=3201_drw_nanjing.json
高雄,gaoxiong,false
沈阳,shenyang,http://map.amap.com/service/subway?_1670073754068&srhdata=2101_drw_shenyang.json
成都,chengdu,http://map.amap.com/service/subway?_1670073741099&srhdata=5101_drw_chengdu.json
佛山,foshan,http://map.amap.com/service/subway?_1670073819979&srhdata=4406_drw_foshan.json
西安,xian,http://map.amap.com/service/subway?_1670073814229&srhdata=6101_drw_xian.json
苏州,suzhou,http://map.amap.com/service/subway?_1670073806729&srhdata=3205_drw_suzhou.json
昆明,kunming,http://map.amap.com/service/subway?_1670074463814&srhdata=5301_drw_kunming.json
杭州,hangzhou,http://map.amap.com/service/subway?_1670074446826&srhdata=3301_drw_hangzhou.json
哈尔滨,haerbin,http://map.amap.com/service/subway?_1670074439981&srhdata=2301_drw_haerbin.json
郑州,zhengzhou,http://map.amap.com/service/subway?_1670074508904&srhdata=4101_drw_zhengzhou.json
长沙,changsha,http://map.amap.com/service/subway?_1670074502686&srhdata=4301_drw_changsha.json
宁波,ningbo,http://map.amap.com/service/subway?_1670074496944&srhdata=3302_drw_ningbo.json
无锡,wuxi,http://map.amap.com/service/subway?_1670074549729&srhdata=3202_drw_wuxi.json
青岛,qingdao,http://map.amap.com/service/subway?_1670074538540&srhdata=3702_drw_qingdao.json
南昌,nanchang,http://map.amap.com/service/subway?_1670074528695&srhdata=3601_drw_nanchang.json
福州,fuzhou,http://map.amap.com/service/subway?_1670074591342&srhdata=3501_drw_fuzhou.json
东莞,dongguan,http://map.amap.com/service/subway?_1670074586139&srhdata=4419_drw_dongguan.json
南宁,nanning,http://map.amap.com/service/subway?_1670074580596&srhdata=4501_drw_nanning.json
合肥,hefei,http://map.amap.com/service/subway?_1670074644061&srhdata=3401_drw_hefei.json
石家庄,shijiazhuang,http://map.amap.com/service/subway?_1670074638849&srhdata=1301_drw_shijiazhuang.json
贵阳,guiyang,http://map.amap.com/service/subway?_1670074631318&srhdata=5201_drw_guiyang.json
厦门,xiamen,http://map.amap.com/service/subway?_1670074680731&srhdata=3502_drw_xiamen.json
乌鲁木齐,wulumuqi,http://map.amap.com/service/subway?_1670074674681&srhdata=6501_drw_wulumuqi.json
温州,wenzhou,http://map.amap.com/service/subway?_1670074663490&srhdata=3303_drw_wenzhou.json
济南,jinan,http://map.amap.com/service/subway?_1670074717545&srhdata=3701_drw_jinan.json
兰州,lanzhou,http://map.amap.com/service/subway?_1670074707348&srhdata=6201_drw_lanzhou.json
常州,changzhou,http://map.amap.com/service/subway?_1670074701623&srhdata=3204_drw_changzhou.json
徐州,xuzhou,http://map.amap.com/service/subway?_1670074760377&srhdata=3203_drw_xuzhou.json
澳门,aomen,false
呼和浩特,huhehaote,http://map.amap.com/service/subway?_1670074736752&srhdata=1501_drw_huhehaote.json
太原,taiyuan,http://map.amap.com/service/subway?_1670074776771&srhdata=1401_drw_taiyuan.json
洛阳,luoyang,false
台中,taizhong,false
绍兴,shaoxing,false
芜湖,wuhu,false
金华,jinhua,false
南通,nantong,false
