line,lineName,color,name,lat,lon,loop
1号线,轨道交通1号线,#0065B3,陈官营,103.662299,36.086940,0
1号线,轨道交通1号线,#0065B3,奥体中心,103.678051,36.090550,0
1号线,轨道交通1号线,#0065B3,兰州城市学院(省科技馆),103.701140,36.098899,0
1号线,轨道交通1号线,#0065B3,兰州海关,103.709486,36.094513,0
1号线,轨道交通1号线,#0065B3,马滩,103.727300,36.082907,0
1号线,轨道交通1号线,#0065B3,土门墩,103.743176,36.073060,0
1号线,轨道交通1号线,#0065B3,兰州西站北广场,103.752681,36.071459,0
1号线,轨道交通1号线,#0065B3,西站什字,103.769518,36.068500,0
1号线,轨道交通1号线,#0065B3,七里河,103.781268,36.066410,0
1号线,轨道交通1号线,#0065B3,小西湖,103.796289,36.063522,0
1号线,轨道交通1号线,#0065B3,文化宫,103.805185,36.061132,0
1号线,轨道交通1号线,#0065B3,西关,103.816935,36.059373,0
1号线,轨道交通1号线,#0065B3,省政府,103.826614,36.059143,0
1号线,轨道交通1号线,#0065B3,东方红广场,103.842424,36.053191,0
1号线,轨道交通1号线,#0065B3,兰州大学,103.856588,36.049956,0
1号线,轨道交通1号线,#0065B3,五里铺,103.871472,36.046490,0
1号线,轨道交通1号线,#0065B3,省气象局,103.883466,36.041587,0
1号线,轨道交通1号线,#0065B3,拱星墩,103.895407,36.039110,0
1号线,轨道交通1号线,#0065B3,焦家湾,103.907753,36.038311,0
1号线,轨道交通1号线,#0065B3,东岗,103.917786,36.040469,0
2号线,轨道交通2号线,#E3002A,雁白大桥,103.884035,36.068349,0
2号线,轨道交通2号线,#E3002A,均家滩,103.881306,36.060700,0
2号线,轨道交通2号线,#E3002A,张苏滩,103.877219,36.055899,0
2号线,轨道交通2号线,#E3002A,五里铺,103.871472,36.046490,0
2号线,轨道交通2号线,#E3002A,团结新村,103.868863,36.038288,0
2号线,轨道交通2号线,#E3002A,红星巷,103.861221,36.034029,0
2号线,轨道交通2号线,#E3002A,兰州火车站,103.853146,36.035881,0
2号线,轨道交通2号线,#E3002A,邮电大楼,103.848814,36.041851,0
2号线,轨道交通2号线,#E3002A,东方红广场,103.842424,36.053191,0
